f1,f2
0.000000000000000000e+00,1.000000000000000000e+00
2.000400080016003206e-04,9.858551928189470681e-01
4.000800160032006413e-04,9.799929712728798759e-01
6.001200240048009619e-04,9.754913391263966282e-01
1.000200040008001603e-03,9.683426373211515559e-01
1.200240048009601924e-03,9.653102729156737283e-01
1.400280056011202244e-03,9.625181039262966642e-01
1.800360072014402886e-03,9.574675758057017427e-01
2.000400080016003206e-03,9.551485363896524694e-01
2.200440088017603310e-03,9.529391584831287121e-01
2.600520104020804385e-03,9.487924847042656928e-01
2.800560112022404489e-03,9.468335998360654093e-01
3.000600120024004593e-03,9.449398284657702929e-01
3.400680136027205668e-03,9.413220265417591159e-01
3.600720144028805771e-03,9.395875538993340159e-01
3.800760152030405875e-03,9.378969447718270569e-01
4.200840168033606950e-03,9.346333205428571933e-01
4.400880176035206620e-03,9.330543508592865631e-01
4.600920184036807158e-03,9.315072030863930097e-01
5.001000200040008233e-03,9.284997657543245797e-01
5.201040208041608770e-03,9.270357121688923563e-01
5.401080216043208440e-03,9.255958945075266620e-01
5.801160232046409515e-03,9.227832404062268346e-01
6.001200240048009185e-03,9.214078508807541645e-01
6.201240248049609723e-03,9.200515622670253357e-01
6.601320264052810798e-03,9.173922577463063943e-01
6.801360272054411335e-03,9.160874192620568346e-01
7.001400280056011005e-03,9.147980207595519664e-01
7.401480296059212080e-03,9.122625859683483052e-01
7.601520304060811750e-03,9.110151973351425791e-01
7.801560312062412288e-03,9.097805347247315266e-01
8.201640328065612495e-03,9.073471453159646094e-01
8.401680336067213900e-03,9.061473844582731418e-01
8.601720344068813570e-03,9.049582757414046386e-01
9.001800360072014645e-03,9.026102707784144918e-01
9.201840368073614315e-03,9.014505647267309074e-01
9.401880376075215720e-03,9.002998874544795305e-01
9.801960392078415060e-03,8.980242346558647837e-01
1.000200040008001647e-02,8.968986125989527602e-01
1.020204040808161614e-02,8.957807237264786560e-01
1.060212042408481721e-02,8.935670277061235067e-01
1.080216043208641688e-02,8.924706962086409456e-01
1.100220044008801829e-02,8.913810474294073805e-01
1.140228045609121763e-02,8.892208831238028743e-01
1.160232046409281903e-02,8.881499368299460295e-01
1.180236047209441870e-02,8.870848104535660195e-01
1.220244048809761978e-02,8.849712601866274175e-01
1.240248049609921945e-02,8.839224786562687175e-01
1.260252050410082085e-02,8.828788008357106865e-01
1.300260052010402019e-02,8.808061237578862501e-01
1.320264052810562160e-02,8.797768250107383947e-01
1.340268053610722127e-02,8.787520302992397614e-01
1.380276055211042234e-02,8.767154206510101577e-01
1.400280056011202201e-02,8.757033531797103754e-01
1.420284056811362342e-02,8.746952841460182704e-01
1.460292058411682276e-02,8.726906907735496599e-01
1.480296059211842416e-02,8.716939523362288167e-01
1.500300060012002383e-02,8.707007837301258268e-01
1.540308061612322491e-02,8.687247728550548942e-01
1.560312062412482458e-02,8.677417483355784888e-01
1.580316063212642425e-02,8.667619288250189014e-01
1.620324064812962706e-02,8.648115780025329435e-01
1.640328065613122499e-02,8.638408911200450291e-01
1.660332066413282640e-02,8.628730978498936333e-01
1.700340068013602574e-02,8.609459128340066769e-01
1.720344068813762714e-02,8.599863880906377656e-01
1.740348069613922855e-02,8.590294907588353901e-01
1.780356071214242789e-02,8.571233394716125664e-01
1.800360072014402929e-02,8.561739717890796131e-01
1.820364072814563070e-02,8.552270038967904053e-01
1.860372074414883004e-02,8.533400633582438610e-01
1.880376075215043144e-02,8.523999935712313070e-01
1.900380076015202938e-02,8.514621291557362692e-01
1.940388077615523219e-02,8.495928423662885143e-01
1.960392078415683012e-02,8.486613372345408468e-01
1.980396079215843153e-02,8.477318718450064239e-01
2.020404080816163087e-02,8.458789124032513040e-01
2.040408081616323227e-02,8.449553481507541264e-01
2.060412082416483368e-02,8.440336831448718158e-01
2.100420084016803302e-02,8.421959259436390122e-01
2.120424084816963442e-02,8.412797745801964266e-01
2.140428085617123583e-02,8.403654040471046915e-01
2.180436087217443517e-02,8.385419007938952340e-01
2.200440088017603657e-02,8.376327186530185820e-01
2.220444088817763451e-02,8.367252184329920794e-01
2.260452090418083732e-02,8.349151770348901547e-01
2.280456091218243525e-02,8.340125950928699572e-01
2.300460092018403666e-02,8.331116134856823008e-01
2.340468093618723600e-02,8.313143805561282740e-01
2.360472094418883740e-02,8.304180961943766759e-01
2.380476095219043881e-02,8.295233460386448598e-01
2.420484096819363815e-02,8.277383919459252448e-01
2.440488097619523955e-02,8.268481618916786458e-01
2.460492098419684096e-02,8.259594137655698054e-01
2.500500100020004030e-02,8.241863197657002260e-01
2.520504100820164170e-02,8.233019540015773519e-01
2.540508101620323964e-02,8.224190303470548802e-01
2.580516103220644245e-02,8.206574774375217096e-01
2.600520104020804038e-02,8.197788339128967428e-01
2.620524104820964179e-02,8.189016039254702894e-01
2.660532106421284113e-02,8.171513631286081436e-01
2.680536107221444253e-02,8.162783431386081423e-01
2.700540108021604394e-02,8.154067182954043425e-01
2.740548109621924328e-02,8.136676421364091860e-01
2.760552110422084468e-02,8.128001862599704141e-01
2.780556111222244609e-02,8.119341163830530173e-01
2.820564112822564543e-02,8.102061313717296986e-01
2.840568113622724683e-02,8.093442158803040298e-01
2.860572114422884477e-02,8.084836856511781189e-01
2.900580116023204758e-02,8.067667856113528435e-01
2.920584116823364551e-02,8.059104192758241858e-01
2.940588117623524692e-02,8.050554451321380034e-01
2.980596119223844626e-02,8.033496852504035113e-01
3.000600120024004766e-02,8.024989064865164501e-01
3.020604120824164907e-02,8.016495338440379204e-01
3.060612122424484841e-02,7.999550253317065929e-01
3.080616123224644981e-02,7.991098996345488148e-01
3.100620124024805122e-02,7.982662003871900946e-01
3.140628125625125056e-02,7.965831056672600941e-01
3.160632126425284849e-02,7.957437232936134253e-01
3.180636127225445337e-02,7.949057935521297580e-01
3.220644128825764924e-02,7.932343218975996813e-01
3.240648129625925411e-02,7.924007957617010822e-01
3.260652130426085205e-02,7.915687537980908850e-01
3.300660132026405486e-02,7.899091573598221450e-01
3.320664132826565279e-02,7.890816211135835978e-01
3.340668133626725073e-02,7.882556054834446435e-01
3.380676135227045354e-02,7.866081756555076687e-01
3.400680136027205147e-02,7.857867819287577271e-01
3.420684136827365635e-02,7.849669497481711611e-01
3.460692138427685222e-02,7.833320138266308685e-01
3.480696139227845709e-02,7.825169326066850894e-01
3.500700140028005503e-02,7.817034579637600622e-01
3.540708141628325784e-02,7.800813760615100678e-01
3.560712142428485577e-02,7.792727931944751774e-01
3.580716143228646065e-02,7.784658656786485054e-01
3.620724144828965652e-02,7.768570278644396643e-01
3.640728145629126139e-02,7.760551436632424638e-01
3.660732146429285933e-02,7.752549669979075242e-01
3.700740148029606214e-02,7.736597906323430252e-01
3.720744148829766007e-02,7.728648185786428648e-01
3.740748149629925801e-02,7.720716093447457240e-01
3.780756151230246082e-02,7.704905365899061831e-01
3.800760152030405875e-02,7.697027021188710405e-01
3.820764152830566363e-02,7.689166885588660794e-01
3.860772154430885950e-02,7.673501840415000164e-01
3.880776155231046437e-02,7.665697233999632099e-01
3.900780156031206231e-02,7.657911442929913326e-01
3.940788157631526512e-02,7.642396929039831921e-01
3.960792158431686305e-02,7.634668520738022712e-01
3.980796159231846099e-02,7.626959556742054502e-01
4.020804160832166380e-02,7.611600604893880018e-01
4.040808161632326173e-02,7.603950941689351373e-01
4.060812162432486661e-02,7.596321372012888595e-01
4.100820164032806248e-02,7.581123175106718737e-01
4.120824164832966735e-02,7.573554881483306467e-01
4.140828165633126529e-02,7.566007348530834342e-01
4.180836167233446810e-02,7.550975242872883797e-01
4.200840168033606603e-02,7.543491011616423325e-01
4.220844168833767091e-02,7.536028223862302200e-01
4.260852170434086678e-02,7.521167671303953250e-01
4.280856171234247165e-02,7.513770254724888575e-01
4.300860172034406959e-02,7.506394978034643950e-01
4.340868173634727240e-02,7.491711548901456297e-01
4.360872174434887033e-02,7.484403750437962355e-01
4.380876175235046827e-02,7.477118799760879009e-01
4.420884176835367108e-02,7.462618156497808908e-01
4.440888177635526901e-02,7.455402822664397577e-01
4.460892178435687389e-02,7.448211054063561543e-01
4.500900180036006976e-02,7.433898935532046170e-01
4.520904180836167463e-02,7.426778948183107021e-01
4.540908181636327257e-02,7.419683251173374572e-01
4.580916183236647538e-02,7.405565457544167618e-01
4.600920184036807331e-02,7.398543726425783618e-01
4.620924184836967125e-02,7.391547016593901231e-01
4.660932186437287406e-02,7.377629394786675565e-01
4.680936187237447199e-02,7.370708850353429042e-01
4.700940188037607687e-02,7.363814062237815650e-01
4.740948189637927274e-02,7.350102491864766163e-01
4.760952190438087761e-02,7.343286078341235701e-01
4.780956191238247555e-02,7.336496158551775171e-01
4.820964192838567836e-02,7.322996538327881666e-01
4.840968193638727629e-02,7.316287206997070802e-01
4.860972194438888117e-02,7.309605107557782810e-01
4.900980196039207704e-02,7.296323342145145663e-01
4.920984196839368191e-02,7.289724044848381324e-01
4.940988197639527985e-02,7.283152716748004796e-01
4.980996199239848266e-02,7.270094704005857222e-01
5.001000200040008059e-02,7.263608386840669784e-01
5.021004200840167853e-02,7.257150773778138220e-01
5.061012202440488134e-02,7.244322392393767185e-01
5.081016203240647927e-02,7.237951989597998237e-01
5.101020204040808415e-02,7.231611021911453774e-01
5.141028205641128002e-02,7.219018119390520072e-01
5.161032206441288489e-02,7.212766547402456041e-01
5.181036207241448283e-02,7.206545136171961241e-01
5.221044208841768564e-02,7.194193517169530372e-01
5.241048209641928357e-02,7.188063668855214638e-01
5.261052210442088151e-02,7.181964700170614391e-01
5.301060212042408432e-02,7.169860115146716728e-01
5.321064212842568225e-02,7.163854854186775256e-01
5.341068213642728713e-02,7.157881183573338024e-01
5.381076215243048300e-02,7.146029317759108324e-01
5.401080216043208787e-02,7.140151473188505182e-01
5.421084216843368581e-02,7.134305920183982019e-01
5.461092218443688862e-02,7.122712382846373425e-01
5.481096219243848655e-02,7.116964743741414079e-01
5.501100220044009143e-02,7.111250086619078647e-01
5.541108221644328730e-02,7.099920400613881633e-01
5.561112222444489217e-02,7.094305710921657848e-01
5.581116223244649011e-02,7.088724681554687823e-01
5.621124224844969292e-02,7.077664273159134378e-01
5.641128225645129085e-02,7.072185226665282931e-01
5.661132226445288879e-02,7.066740505528535943e-01
5.701140228045609160e-02,7.055954694546110462e-01
5.721144228845768953e-02,7.050613929977458394e-01
5.741148229645929441e-02,7.045308141283376235e-01
5.781156231246249028e-02,7.034802131414678028e-01
5.801160232046409515e-02,7.029602227673894532e-01
5.821164232846569309e-02,7.024437934639757852e-01
5.861172234446889590e-02,7.014216804114317139e-01
5.881176235247049383e-02,7.009160275644208404e-01
5.901180236047209177e-02,7.004139975888529213e-01
5.941188237647529458e-02,6.994208668353436575e-01
5.961192238447689251e-02,6.989297960628968465e-01
5.981196239247849739e-02,6.984424081695210784e-01
6.021204240848169326e-02,6.974787397357238294e-01
6.041208241648329813e-02,6.970024882503802477e-01
6.061212242448489607e-02,6.965299777509985635e-01
6.101220244048809888e-02,6.955962364528647246e-01
6.121224244848969681e-02,6.951350337065370644e-01
6.141228245649130169e-02,6.946776280478524912e-01
6.181236247249449756e-02,6.937742626608149887e-01
6.201240248049610243e-02,6.933283299315446957e-01
6.221244248849770037e-02,6.928862482850112192e-01
6.261252250450090318e-02,6.920136907329597076e-01
6.281256251250250111e-02,6.915832407240365409e-01
6.301260252050409905e-02,6.911566935880637530e-01
6.341268253650729492e-02,6.903153581570040664e-01
6.361272254450890673e-02,6.899005946084177943e-01
6.381276255251050467e-02,6.894897834229042344e-01
6.421284256851370054e-02,6.886800659992633467e-01
6.441288257651529847e-02,6.882811833114766964e-01
6.461292258451691028e-02,6.878863000846615616e-01
6.501300260052010616e-02,6.871085774182366102e-01
6.521304260852170409e-02,6.867257602882841372e-01
6.541308261652330203e-02,6.863469872359315715e-01
6.581316263252651177e-02,6.856016162275176962e-01
6.601320264052810971e-02,6.852350392974529969e-01
6.621324264852970765e-02,6.848725484943919417e-01
6.661332266453290352e-02,6.841598655081496672e-01
6.681336267253450145e-02,6.838096930258781292e-01
6.701340268053611327e-02,6.834636460699375915e-01
6.741348269653930914e-02,6.827839662705851298e-01
6.761352270454090707e-02,6.824503517631280713e-01
6.781356271254250501e-02,6.821208994515182145e-01
