f1,f2
0.000000000000000000e+00,1.000000000000000000e+00
6.290518989817077411e-03,9.999604293708387326e-01
1.378103778622513653e-02,9.998100829975345993e-01
2.576122777155409257e-02,9.993363591437021132e-01
3.861879717759916786e-02,9.986081586903042817e-01
4.878356047929468392e-02,9.976201642269629799e-01
5.492599025185813250e-02,9.969831355948527429e-01
6.786444620609169420e-02,9.953944169411405030e-01
7.336614848609979145e-02,9.946174082563155050e-01
8.542730690568259289e-02,9.927021752348422767e-01
9.527413007929144695e-02,9.909228401376342088e-01
1.132574948825841032e-01,9.871727398529214215e-01
1.258174730269882025e-01,9.844773725438443757e-01
1.274424904047784801e-01,9.837584116394278988e-01
1.443622182487236116e-01,9.791595499423079163e-01
1.578017956355436124e-01,9.760669259643911522e-01
1.701871054929183502e-01,9.710363491239423217e-01
1.709869998203821795e-01,9.710941598582594203e-01
1.810562525876033002e-01,9.672186333989339913e-01
1.951917231035096290e-01,9.620437255893897754e-01
2.068209481893016066e-01,9.572250953900782733e-01
2.181798656787922175e-01,9.523975462123841496e-01
2.301532557046164773e-01,9.470294788885653681e-01
2.417434558553523127e-01,9.415694209094265243e-01
2.510849141013437591e-01,9.369890695120034474e-01
2.785402839767169292e-01,9.233312495399643716e-01
2.785402839767169292e-01,9.233312495399643716e-01
3.123922481724782929e-01,9.036051586390971835e-01
3.135393585198068545e-01,9.016993921425479064e-01
3.265603443633149916e-01,8.934542145907451438e-01
3.265603443633149916e-01,8.934542145907451438e-01
3.485926243016124193e-01,8.785982960081284432e-01
3.657076219518546889e-01,8.662579352463193327e-01
3.836504212110076195e-01,8.529633810146273198e-01
3.927418524937909550e-01,8.550973040455795982e-01
3.926955018392810914e-01,8.459056633007326909e-01
4.168547839586632664e-01,8.264036644041032886e-01
4.270154435829153217e-01,8.208933073798471147e-01
4.270154435829153217e-01,8.208933073798471147e-01
4.615129766321199867e-01,7.918404291237153281e-01
4.615129766321199867e-01,7.918404291237153281e-01
4.731891695226155825e-01,7.762334233080089296e-01
4.832384875726043472e-01,7.736399513236538183e-01
4.840597209058112305e-01,7.685381929994795636e-01
4.996357329854594354e-01,7.569577846912939334e-01
5.283204349236668707e-01,7.257598636579498663e-01
5.401415364781748663e-01,7.265977787734118065e-01
5.455621488751910553e-01,7.151625371039470602e-01
5.455621488751910553e-01,7.151625371039470602e-01
5.734623950333155307e-01,7.187941027994425580e-01
5.587232004012699926e-01,6.941422736817177697e-01
5.816309808888721067e-01,6.846649140087455176e-01
6.097261459368477077e-01,6.462686260824441753e-01
6.097261459368477077e-01,6.462686260824441753e-01
6.097261459368477077e-01,6.462686260824441753e-01
6.200344264791748383e-01,6.194175683878602179e-01
6.491861970540945270e-01,5.935996868105510860e-01
6.491861970540945270e-01,5.935996868105510860e-01
6.690592197399719554e-01,5.643995097063218003e-01
6.690592197399719554e-01,5.643995097063218003e-01
6.769029483565872640e-01,5.522143379959489895e-01
6.878686056414528016e-01,5.343836248396455213e-01
6.878686056414528016e-01,5.343836248396455213e-01
7.129702241835349508e-01,4.973026469567522478e-01
7.129702241835349508e-01,4.973026469567522478e-01
7.261628098946535381e-01,4.773629312810654390e-01
7.261628098946535381e-01,4.773629312810654390e-01
7.261628098946535381e-01,4.773629312810654390e-01
7.636289290129375518e-01,4.330163856974007519e-01
7.636289290129375518e-01,4.330163856974007519e-01
7.636289290129375518e-01,4.330163856974007519e-01
7.636289290129375518e-01,4.330163856974007519e-01
8.314432569266281270e-01,3.967846566422471577e-01
8.314432569266281270e-01,3.967846566422471577e-01
8.314432569266281270e-01,3.967846566422471577e-01
8.314432569266281270e-01,3.967846566422471577e-01
7.898586655004332657e-01,3.825927986206976161e-01
9.739781499445746560e-01,3.855966069780480399e-01
9.013935483388108016e-01,3.360378468095509552e-01
9.013935483388108016e-01,3.360378468095509552e-01
1.000000000000000000e+00,2.008105773843675557e-01
1.000000000000000000e+00,2.008105773843675557e-01
1.000000000000000000e+00,2.008105773843675557e-01
1.000000000000000000e+00,2.008105773843675557e-01
1.000000000000000000e+00,2.008105773843675557e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
9.347697313277505415e-01,1.264023155003067278e-01
1.000000000000000000e+00,5.718874763132272311e-04
1.000000000000000000e+00,5.718874763132272311e-04
1.000000000000000000e+00,5.718874763132272311e-04
1.000000000000000000e+00,5.718874763132272311e-04
1.000000000000000000e+00,5.718874763132272311e-04
1.000000000000000000e+00,5.718874763132272311e-04
