f1,f2
7.597668260942573859e-01,4.227543699666584942e-01
7.644186289895771313e-01,4.156641596536951866e-01
7.620333465960922315e-01,4.193051786755599419e-01
7.580506144770662313e-01,4.253592658909423063e-01
9.562905162648612789e-01,8.550844850188510371e-02
2.442652307187096472e-01,9.403344970619355037e-01
2.585957580986360527e-01,9.331282338933917231e-01
6.412270722507718013e-01,5.888278418127035341e-01
2.511718981106456638e-01,9.369126775994954803e-01
9.356423841291338084e-01,1.245733290211503697e-01
4.953410601759281051e-01,7.546372341037875797e-01
2.547963282642204397e-01,9.350788311030716615e-01
7.617695992786702730e-01,4.197070776148140725e-01
2.561643096319977109e-01,9.343798464707619988e-01
9.573280325341760877e-01,8.352303812424344276e-02
8.342097686304205117e-01,3.040940619215802831e-01
4.495421673370115778e-01,7.979118397859422673e-01
5.922089767735245758e-01,6.492885278288550444e-01
5.314344434735777112e-01,7.175774322899287627e-01
9.334165496503070703e-01,1.287335448389158588e-01
4.259022419362151202e-01,8.186072803137056653e-01
5.764725541715640666e-01,6.676793942869131415e-01
8.979007566424724862e-01,1.937742312208754480e-01
4.806293673047949966e-01,7.689954112841924649e-01
7.569076096245632712e-01,4.270908704924297750e-01
6.233909415377392182e-01,6.113837340086909489e-01
7.643164176893419981e-01,4.158204136505313508e-01
4.692093022791682388e-01,7.798426306546961673e-01
2.430434326713479809e-01,9.409298898353279927e-01
8.568259621932223791e-01,2.658492705116586308e-01
3.967396793906604602e-01,8.425976267969959022e-01
9.528296765740491558e-01,9.211560743979285704e-02
9.603434286053241786e-01,7.774049913457059535e-02
2.298297284887411973e-01,9.471782959027914561e-01
7.604607031485972612e-01,4.216995189667410715e-01
6.364679319202322105e-01,5.949085716371826926e-01
7.105519051706772338e-01,4.951159900583208540e-01
8.017254451870017284e-01,3.572363105397038385e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.635830854879118723e-01,4.169408715567602952e-01
3.892409153801782984e-01,8.484915097940008977e-01
1.765645669756964464e-01,9.688249536886848201e-01
5.107489137992711203e-01,7.391355470528646610e-01
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
5.226334422964877824e-01,7.268542849933237182e-01
6.623965416556740760e-01,5.612308216026028473e-01
1.000000000000000000e+00,0.000000000000000000e+00
8.368253997551280410e-01,2.997232503246701762e-01
4.562852572414054508e-01,7.918037640241444297e-01
6.123480672067542763e-01,6.250298445881523612e-01
6.353167160893453680e-01,5.963726702574501104e-01
8.751948936843403359e-01,2.340338980688562165e-01
8.893747223261748713e-01,2.090126032872393624e-01
9.026845835611209123e-01,1.851605426010857203e-01
8.765113190879686433e-01,2.317279075106691844e-01
0.000000000000000000e+00,1.000000000000000000e+00
6.341907703048927925e-01,5.978020668600867449e-01
9.109156138299194794e-01,1.702327444808610091e-01
1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
7.856492405686941183e-01,3.827552707938342014e-01
6.638317637643965652e-01,5.593273894174504157e-01
1.000000000000000000e+00,0.000000000000000000e+00
8.133312235391426670e-02,9.933849232081631841e-01
9.511128596529609958e-01,9.538432820276687707e-02
3.719505464161327879e-01,8.616527910207402163e-01
5.237880315411214127e-01,7.256460980142771522e-01
9.239399195642449270e-01,1.463350250356165727e-01
3.003306724111953763e-01,9.098014872090391947e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.730372722811785779e-01,4.024133756640749793e-01
1.000000000000000000e+00,0.000000000000000000e+00
1.360381169226184406e-01,9.814936307441479713e-01
2.550775916229736096e-01,9.349354222518234669e-01
8.008956506934222785e-01,3.585661567003597394e-01
1.784207926975172054e-01,9.681660207331895807e-01
3.521759954916257596e-01,8.759720681994823677e-01
9.151625506791754017e-01,1.624775058343856937e-01
6.965956748038119040e-01,5.147544658446219223e-01
7.373026142717229447e-01,4.563848549880828998e-01
2.623742812313375472e-01,9.311597365483389455e-01
2.719631350082600263e-01,9.260360531964789699e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
9.484185332183538986e-01,1.005022858479461823e-01
2.882301923306248015e-01,9.169233562290510786e-01
4.195236416410421110e-01,8.239999141042384512e-01
9.902045134570125473e-01,1.949502152936111177e-02
4.333595879232527981e-01,8.121994675549885079e-01
3.295035732478625023e-01,8.914273952168905168e-01
9.009445132710086623e-02,9.918829898400686185e-01
7.116987508345249402e-01,4.934848880605767762e-01
5.291628032291961770e-01,7.199867276786189318e-01
6.209880381596635246e-01,6.143738564626122223e-01
4.912302266611709989e-01,7.586928644144145251e-01
7.339116647804391214e-01,4.613736682992043425e-01
1.788882530501200163e-01,9.679989929206762600e-01
