f1,f2
0.000000000000000000e+00,5.344267525997620538e+01
1.600066062576183112e-01,4.569731470586923905e+01
1.051246954407474565e-01,4.624248725719592557e+01
5.720664140654944246e-02,4.636566913486992547e+01
2.195801060265313836e-03,4.921831329147936174e+01
7.515159894748035688e-05,5.125374030564247363e+01
2.000155325125181106e-03,5.124996936875206188e+01
5.070269012345244436e-02,4.676008624237856992e+01
3.578727408437794300e-02,4.745570443590382581e+01
2.183576661353400783e-02,4.796076409226232329e+01
3.976806709572541787e-02,4.710269389087169145e+01
1.560574075464993965e-02,4.866463026018909943e+01
1.954433446678849329e-02,4.802218873150735590e+01
1.081017802837610023e-02,4.885634979470645334e+01
3.816535260091672571e-02,4.735934826238030837e+01
1.348117841560885280e-02,4.881096367234699329e+01
1.788184268412816857e-01,4.627530011322154735e+01
0.000000000000000000e+00,5.362397175792823845e+01
1.171078780620082305e-01,4.685829402672148092e+01
4.114470582718957048e-02,4.714518681584530668e+01
1.332522208348753956e-01,4.634206653860593406e+01
3.204859982632363505e-03,5.010154934095301371e+01
2.000155325125181106e-03,5.136837976633065495e+01
1.297568051505423978e-04,5.309909268427635709e+01
1.298303884982332790e-01,4.654661205278543434e+01
3.078931035152767531e-02,4.801772582449256532e+01
2.370848418269918059e-02,4.837822885830365038e+01
1.505150131227652355e-04,5.232963635226867183e+01
3.976806709572541787e-02,4.762127340305520562e+01
1.996994396193391662e-03,5.182650925051836310e+01
1.993326653165567591e-02,4.876103613194123909e+01
1.498329638152233467e-02,4.913750165110409540e+01
5.011591083997725578e-03,4.961035836170234603e+01
3.816535260091672571e-02,4.792862022521173060e+01
8.145523521979006892e-03,4.949975153315570964e+01
1.081017802837610023e-02,4.919099037062698443e+01
1.380842593735634406e-03,5.223839853985472814e+01
2.328426843087882253e-02,4.863076230786227683e+01
0.000000000000000000e+00,5.428980321128602071e+01
1.980868148133465012e-01,4.663376789327479344e+01
1.210678826647615669e-01,4.688321328317660175e+01
5.070269012345244436e-02,4.716993197606002042e+01
1.812728241454577560e-01,4.678791107651441905e+01
4.264131071358534097e-04,5.320978380035105459e+01
2.384896661721344277e-02,4.842310843258792374e+01
2.000155325125181106e-03,5.178621438753670958e+01
3.204859982632363505e-03,5.059035718533954196e+01
3.898563629182287549e-02,4.807296692478833222e+01
3.976806709572541787e-02,4.775214411391883829e+01
4.921091204329779145e-02,4.742313062318658012e+01
6.324450049567199861e-03,5.003401269576138333e+01
2.130117423426960283e-02,4.892908183475697115e+01
6.633205408260912797e-04,5.257425264429872414e+01
1.350522074372415872e-02,4.954088846128485102e+01
6.720994804197957459e-03,4.964645808677096284e+01
5.011591083997725578e-03,5.050286910248586025e+01
1.834182778282360607e-02,4.926425892828563491e+01
1.999399321027668652e-03,5.204225819781432705e+01
9.743891441841409564e-04,5.238598896560774421e+01
1.993326653165567591e-02,4.911848583893391407e+01
1.354047145432042965e-01,4.694819664318442420e+01
0.000000000000000000e+00,5.446754104705090782e+01
8.112049059861135836e-02,4.727118737474978616e+01
1.298303884982332790e-01,4.705671568905302848e+01
5.331305742940876946e-02,4.736087537940820624e+01
3.984664630358044496e-02,4.797839675657303360e+01
2.000155325125181106e-03,5.214202683409614281e+01
4.378214968711872284e-04,5.364686046603979008e+01
3.204859982632363505e-03,5.092863987568412654e+01
5.011591083997725578e-03,5.055196089757026812e+01
2.658556952885858526e-02,4.866014590592794775e+01
1.448287617634136902e-02,4.956180035954830743e+01
3.976806709572541787e-02,4.841723942378096268e+01
2.104370547952609527e-02,4.928698820840040185e+01
2.784800507277025716e-02,4.842387115155226951e+01
6.720994804197957459e-03,4.977556174618121076e+01
1.966468044455316460e-03,5.242912511244912110e+01
6.633205408260912797e-04,5.301722700187519877e+01
6.970078214959560346e-04,5.294770690964903537e+01
7.177566374839652180e-03,4.971323989244558561e+01
1.993326653165567591e-02,4.930348460082197448e+01
3.611776849620487815e-03,5.091518144627051612e+01
1.600066062576183112e-01,4.696616583765126762e+01
0.000000000000000000e+00,5.476990791771790867e+01
5.720664140654944246e-02,4.749026216473740902e+01
1.284624807956193659e-01,4.741825592211593232e+01
1.993326653165567591e-02,4.931640492801045639e+01
2.000155325125181106e-03,5.230614334222865835e+01
7.177566374839652180e-03,4.984764805452451242e+01
3.204859982632363505e-03,5.094300960943502332e+01
6.633205408260912797e-04,5.399821736195033139e+01
3.121815314855341805e-02,4.856146300715890618e+01
1.101142037697278508e-03,5.296992525858578915e+01
1.496352693739868567e-01,4.705917293268844759e+01
1.351768379992688562e-01,4.729517547947796174e+01
5.394485194675771242e-03,5.056513648124450810e+01
5.070269012345244436e-02,4.803752912297384370e+01
3.990643401487051212e-02,4.815702197461480694e+01
5.719525498849189343e-02,4.797395325109545894e+01
3.923638423258044711e-02,4.847519341993199049e+01
