f1,f2
8.980753863551680695e-06,2.336123485792422372e+01
2.227752817396836128e-06,2.336859333139023676e+01
1.771279338994155643e-05,2.335528696632203349e+01
1.995702732828395564e-05,2.335404338117197298e+01
1.657250141963856406e-05,2.335597692783557733e+01
1.657250141963856406e-05,2.335597692783557733e+01
1.368640971223617272e-05,2.335780784051389958e+01
2.041057815072365203e-06,2.336879130877708377e+01
1.374748299339097825e-05,2.335776062039452228e+01
1.666210572060992354e-05,2.335597049119514423e+01
9.220624210199452345e-06,2.336098592475758196e+01
1.906641882525484267e-05,2.335459053879292313e+01
1.580291805279694257e-05,2.335664375211960575e+01
2.030572304607266716e-05,2.335389905909345742e+01
2.289527380378074493e-05,2.335244780135456111e+01
1.829954936721680985e-05,2.335498492260690995e+01
2.977906897866634638e-05,2.334924617417942372e+01
3.096309676090224357e-05,2.334871354993259018e+01
9.910122656367731958e-06,2.336054489094182074e+01
1.623571357689779601e-05,2.335618394285047827e+01
1.936175159378771937e-06,2.336920829923240461e+01
5.989741484275278656e-06,2.336397961559435643e+01
1.692714720294682192e-05,2.335579000917545756e+01
6.946654074800706146e-06,2.336295616283364396e+01
2.990774999705549502e-05,2.334919439778364492e+01
9.046576946195494291e-06,2.336112608717230543e+01
1.741021222657384689e-05,2.335553474490337322e+01
1.420025430390212244e-05,2.335746900395198011e+01
6.962272384912614485e-06,2.336291451600293456e+01
9.844844224973568737e-07,2.337108083292893213e+01
9.941234338143887652e-06,2.336040109278335208e+01
5.312924575615543379e-06,2.336461430150920293e+01
1.230130638463673641e-05,2.335874829506212080e+01
2.651923999970216836e-06,2.336789657130665887e+01
5.336945557475730627e-06,2.336456991080256884e+01
1.138677922576373350e-05,2.335946335409294505e+01
3.291582126252235956e-07,2.337298664286655026e+01
4.258851663290133024e-06,2.336572621330342514e+01
4.872284444350203050e-06,2.336503295488254039e+01
2.659110244628092696e-05,2.335073976436868648e+01
2.430883026583146541e-06,2.336824307333903761e+01
1.069665435021407255e-05,2.335986153676067900e+01
1.637230565723558402e-05,2.335610172372605930e+01
2.537280921320717478e-05,2.335136570535714995e+01
1.630641350316483877e-06,2.336952690272670452e+01
2.735414877832179130e-06,2.336789171283290401e+01
7.811267880904590978e-07,2.337153464402540948e+01
4.821703454935906999e-06,2.336507767164474103e+01
2.360640303568592129e-06,2.336837715740366406e+01
1.354166173198711914e-05,2.335802968470900609e+01
4.146603276762776733e-06,2.336584659766319660e+01
2.383101302737869500e-05,2.335199742573272275e+01
1.979229453539605184e-05,2.335412184903831090e+01
4.074023411674921557e-06,2.336594696976948171e+01
9.880896378288503564e-06,2.336062141433571782e+01
2.441917918471647701e-06,2.336818201358433811e+01
2.977906897866634638e-05,2.334924617417942372e+01
2.977906897866634638e-05,2.334924617417942372e+01
7.216086620691093752e-06,2.336268514605114177e+01
1.199709977208352793e-05,2.335898968819061139e+01
2.251237876080990733e-05,2.335271736061883630e+01
1.256264095482401389e-05,2.335847682171581852e+01
2.625363774532636402e-05,2.335104193183483545e+01
3.075168966938317776e-05,2.334885165482835490e+01
8.277106229400329329e-06,2.336185414357444046e+01
3.264699762729316584e-06,2.336701515861365763e+01
2.744965616300429643e-05,2.335029250846335103e+01
8.670697784736430198e-07,2.337129520983286923e+01
1.354719353269134523e-05,2.335782656772704868e+01
1.233203298080937094e-05,2.335864024565743335e+01
2.198101009390001845e-05,2.335298195452512715e+01
1.832447593645457337e-05,2.335494427989769051e+01
8.119461989346146800e-06,2.336190517918672427e+01
1.323975655777970116e-05,2.335808525082920184e+01
2.141511893498436963e-05,2.335326242793271589e+01
2.866967308975464391e-05,2.334979167691357915e+01
2.438096535830004948e-05,2.335177358566892636e+01
1.876187731445536869e-05,2.335471670144783474e+01
9.409193189416960667e-06,2.336093893904319785e+01
8.300876795759942509e-07,2.337135112580047291e+01
1.762516344109633145e-05,2.335535764815181281e+01
1.742678852399840423e-05,2.335547375776802426e+01
4.813183628799501947e-06,2.336513125387768852e+01
2.403846525651448662e-05,2.335193121274289396e+01
2.013479463718161470e-05,2.335394718741817854e+01
3.079767175178496538e-05,2.334878587371874303e+01
3.091711467850045595e-05,2.334877927655998775e+01
2.345114570498844892e-05,2.335235911282608612e+01
6.734847137018230349e-06,2.336313819591430985e+01
0.000000000000000000e+00,7.010112937272880629e+01
2.733289869467280271e-05,2.335038668266912865e+01
2.878643055808613425e-05,2.334969877225762147e+01
2.920920236385887277e-05,2.334949047051900806e+01
2.102269971643249983e-05,2.335341766633894167e+01
2.275309147502476003e-05,2.335259672050200308e+01
5.482597783941458417e-06,2.336435470207497289e+01
2.985389792506813506e-05,2.334920677286318380e+01
7.204164250261372459e-06,2.336272650232437442e+01
2.694393099434186340e-05,2.335060759489124038e+01
6.501253716045514619e-06,2.336338054621678850e+01
