f1,f2
1.138921218733991436e-01,4.145127266085324891e+00
1.051466121131631737e-01,4.157074337418050547e+00
1.538499306071957062e-01,4.141302971153644208e+00
1.538499306071957062e-01,4.141302971153644208e+00
1.538499306071957062e-01,4.141302971153644208e+00
9.158345294603942310e-02,4.186075374901318646e+00
0.000000000000000000e+00,4.931245202352394941e+00
7.836113147957699931e-04,4.851185887853763923e+00
2.525545983698491703e-01,3.497540623457048525e+00
2.463709906403413197e-01,3.574335700737974353e+00
8.693517526022891129e-02,4.230181360837017124e+00
8.658446457874771629e-02,4.233831946242783140e+00
4.378623907841851931e-03,4.782109756053413818e+00
1.634622177270706467e-01,4.104719591661385891e+00
2.423371760892688020e-01,3.612626168534736948e+00
4.598610695626077494e-01,2.967371325875264088e+00
7.846586029756474207e-03,4.768498192953144255e+00
8.323178940491005040e-03,4.690239616061902872e+00
3.999417058034059752e-02,4.377305379655632933e+00
2.372828015916965128e-01,3.624789909990317582e+00
5.547954334497174483e-02,4.329747474578696576e+00
3.938979441447067881e-02,4.427531843483008878e+00
2.416334664933415463e-02,4.561268145397683327e+00
1.387082785230783245e-02,4.649950849624162608e+00
4.048286715887078890e-01,3.496574397510777921e+00
7.192289847276835124e-02,4.234144997107846642e+00
2.238198661318799854e-01,3.702832714421440130e+00
2.203963457907363588e-01,3.781921778343506180e+00
2.349244721450887419e-01,3.645765038653972390e+00
2.299960403444446522e-01,3.677751928411921334e+00
2.317146976621204668e-01,3.663081168530593956e+00
2.299034395099456007e-01,3.694283714674125196e+00
5.722142392856308796e-02,4.326824141596084417e+00
2.173751552939739429e-01,3.788433718595920041e+00
2.033399735430394539e-01,3.900494259428560095e+00
1.792649147661581552e-02,4.644149634210575250e+00
2.154327016381479831e-01,3.803128207926619098e+00
4.567880905600350538e-01,2.976232115947530232e+00
2.627035289927905429e-02,4.541089560287077553e+00
4.562495632737896267e-01,2.984048882213065301e+00
3.111142580573914712e-02,4.521195808620086076e+00
3.157417060859908642e-02,4.471660511524702564e+00
3.157417060859908642e-02,4.471660511524702564e+00
4.482096633282472986e-02,4.371595418716501591e+00
3.157417060859908642e-02,4.471660511524702564e+00
1.736364751977059750e-01,4.090907980483259543e+00
1.902878603021738307e-02,4.613231330370620498e+00
2.005571101510725263e-01,3.915344834514294270e+00
1.940326922644370483e-02,4.604435497989465276e+00
2.052422836652669225e-01,3.842600147434910518e+00
2.126972103784005030e-01,3.810885030330759538e+00
2.083838499324779658e-01,3.833492604611714594e+00
1.747171340754157531e-01,4.088146040924444335e+00
4.459360145810319365e-01,3.031049251481768181e+00
1.931008703779374946e-01,3.955889004652628493e+00
6.426123366018293703e-02,4.322531276655546151e+00
1.891884262711401032e-01,4.003111512389909699e+00
6.593861811299045472e-02,4.252106521108117043e+00
6.592890995231018292e-02,4.280478476778275976e+00
1.772019810736762402e-01,4.080764523389015075e+00
6.575938125243688259e-02,4.281073772374475617e+00
4.104022250891124490e-01,3.373951835500005991e+00
4.516872646062504160e-01,3.009372569534251696e+00
4.412244769152051105e-01,3.046511863879226567e+00
4.114362971995656482e-01,3.348130084833033759e+00
4.498922156907914083e-01,3.026054835940388266e+00
1.856104297808940651e-01,4.012830021896214738e+00
1.824689405230033035e-01,4.061808229535984971e+00
4.323763733004853393e-01,3.101115600522581062e+00
1.807799775639222783e-01,4.075220131968136705e+00
4.255287947811587923e-01,3.214904374789624875e+00
4.375935295565410166e-01,3.070532589473666363e+00
4.320256626190041582e-01,3.107326150771159590e+00
4.215606045509703859e-01,3.255312823241418574e+00
4.201864307347379368e-01,3.278788460812263938e+00
4.264169211669215920e-01,3.192527561089498089e+00
4.356786849942821949e-01,3.097437515099723981e+00
4.297779584199525327e-01,3.153863063340293316e+00
4.156581639412101348e-01,3.308729330583667139e+00
4.257191764068252171e-01,3.220432261865797674e+00
4.609530836448872404e-01,2.974953124012482242e+00
4.520035090377969023e-01,3.019311016922769486e+00
4.227192361843604695e-01,3.277459756348765740e+00
4.306427850096472554e-01,3.163622985700679902e+00
4.428029383169042044e-01,3.063027630442654026e+00
4.405386398660780523e-01,3.080855760216619110e+00
4.175944578273914631e-01,3.320545604510188653e+00
4.193313747640867173e-01,3.310904137784034695e+00
4.107710474947046664e-01,3.434021113676381187e+00
4.110485811670082645e-01,3.407218938161788113e+00
4.243398993927111063e-01,3.278569216906609185e+00
4.218036833585167567e-01,3.285691861713852191e+00
4.524083350872342701e-01,3.022774200764934971e+00
4.181560728615845712e-01,3.339084479333370936e+00
4.308618162163360132e-01,3.176468186260333670e+00
4.113991294093272133e-01,3.410328965186519845e+00
4.162150014443312118e-01,3.351535487567945282e+00
4.579071741845507360e-01,3.006464842535274240e+00
4.579071741845507360e-01,3.006464842535274240e+00
4.579071741845507915e-01,3.006464842535273796e+00
